epoch	loss	acc	val_loss	val_acc
0	1.552962303161621	0.4375	1.4843990802764893	0.75
1	1.4530267715454102	0.5625	1.3152636289596558	0.75
2	1.2132447957992554	0.8125	1.2895623445510864	0.75
3	0.9906328320503235	0.8125	1.3565231561660767	0.75
4	0.827486515045166	0.8125	1.4404724836349487	0.75
5	0.8084798455238342	0.8125	1.4957996606826782	0.75
6	0.6448062658309937	0.8125	1.561389684677124	0.75
7	0.8912659883499146	0.8125	1.6195499897003174	0.75
8	0.8654536008834839	0.8125	1.667094111442566	0.75
9	0.9763049483299255	0.8125	1.7085449695587158	0.75
